一覧
番号	地域	TS名	リモコン番号	サービスID	TSID（10進数）	TSID（16進数）
34	石川	北陸朝日放送	⑤	34840	32211	7DD3
34	石川	ＭＲＯ	⑥	34848	32212	7DD4
34	石川	石川テレビ	⑧	34856	32213	7DD5
35	静岡	ＮＨＫ総合・静岡	①	35840	32192	7DC0
35	静岡	ＮＨＫＥテレ静岡	②	35848	32193	7DC1
35	静岡	ＳＢＳ	⑥	35856	32194	7DC2
35	静岡	テレビ静岡	⑧	35864	32195	7DC3
35	静岡	だいいちテレビ	④	35872	32196	7DC4
35	静岡	静岡朝日テレビ	⑤	35880	32197	7DC5
36	福井	ＮＨＫ総合・福井	①	36864	32176	7DB0
36	福井	ＮＨＫＥテレ福井	②	36872	32177	7DB1
36	福井	ＦＢＣテレビ	⑦	36880	32178	7DB2
36	福井	福井テレビ	⑧	36888	32179	7DB3
37	富山	ＮＨＫ総合・富山	③	37888	32160	7DA0
37	富山	ＮＨＫＥテレ富山	②	37896	32161	7DA1
37	富山	ＫＮＢ北日本放送	①	37904	32162	7DA2
37	富山	ＢＢＴ富山テレビ	⑧	37912	32163	7DA3
37	富山	チューリップテレビ	⑥	37920	32164	7DA4
38	三重	ＮＨＫ総合・津	③	38912	32144	7D90
38	三重	三重テレビ	⑦	38960	32150	7D96
番号	地域	TS名	リモコン番号	サービスID	TSID（10進数）	TSID（16進数）
39	岐阜	ＮＨＫ総合・岐阜	③	39936	32128	7D80
39	岐阜	ぎふチャン	⑧	39984	32134	7D86
40	大阪	ＮＨＫ総合・大阪	①	40960	32112	7D70
40	大阪	テレビ大阪	⑦	41008	32118	7D76
41	京都	ＮＨＫ総合・京都	①	41984	32096	7D60
41	京都	ＫＢＳ京都	⑤	42032	32102	7D66
42	兵庫	ＮＨＫ総合・神戸	①	43008	32080	7D50
42	兵庫	サンテレビ	③	43056	32086	7D56
43	和歌山	ＮＨＫ総合・和歌山	①	44032	32064	7D40
43	和歌山	テレビ和歌山	⑤	44080	32070	7D46
44	奈良	ＮＨＫ総合・奈良	①	45056	32048	7D30
44	奈良	奈良テレビ	⑨	45104	32054	7D36
45	滋賀	ＮＨＫ総合・大津	①	46080	32032	7D20
45	滋賀	ＢＢＣびわ湖放送	③	46128	32038	7D26
46	広島	ＮＨＫ総合・広島	①	47104	32016	7D10
46	広島	ＮＨＫＥテレ広島	②	47112	32017	7D11
46	広島	ＲＣＣテレビ	③	47120	32018	7D12
46	広島	広島テレビ	④	47128	32019	7D13
46	広島	広島ホームテレビ	⑤	47136	32020	7D14
46	広島	ＴＳＳ	⑧	47144	32021	7D15
47	岡山	ＮＨＫ総合・岡山	①	48128	32000	7D00
47	岡山	ＮＨＫＥテレ岡山	②	48136	32001	7D01
48	島根	ＮＨＫ総合・松江	③	49152	31984	7CF0
48	島根	ＮＨＫＥテレ松江	②	49160	31985	7CF1
番号	地域	TS名	リモコン番号	サービスID	TSID（10進数）	TSID（16進数）
49	鳥取	ＮＨＫ総合・鳥取	③	50176	31968	7CE0
49	鳥取	ＮＨＫＥテレ鳥取	②	50184	31969	7CE1
50	山口	ＮＨＫ総合・山口	①	51200	31952	7CD0
50	山口	ＮＨＫＥテレ山口	②	51208	31953	7CD1
50	山口	ＫＲＹ山口放送	④	51216	31954	7CD2
50	山口	ｔｙｓテレビ山口	③	51224	31955	7CD3
50	山口	ｙａｂ山口朝日	⑤	51232	31956	7CD4
51	愛媛	ＮＨＫ総合・松山	①	52224	31936	7CC0
51	愛媛	ＮＨＫＥテレ松山	②	52232	31937	7CC1
51	愛媛	南海放送	④	52240	31938	7CC2
51	愛媛	愛媛朝日	⑤	52248	31939	7CC3
51	愛媛	あいテレビ	⑥	52256	31940	7CC4
51	愛媛	テレビ愛媛	⑧	52264	31941	7CC5
52	香川	ＮＨＫ総合・高松	①	53248	31920	7CB0
52	香川	ＮＨＫＥテレ高松	②	53256	31921	7CB1
53	徳島	ＮＨＫ総合・徳島	③	54272	31904	7CA0
53	徳島	ＮＨＫEテレ徳島	②	54280	31905	7CA1
53	徳島	四国放送	①	54288	31906	7CA2
54	高知	ＮＨＫ総合・高知	①	55296	31888	7C90
54	高知	ＮＨＫＥテレ高知	②	55304	31889	7C91
